token_str,A,B,N,x
aa,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
aacacia,0.0,0.0,1.0141571264060656e-06,0.0
aand,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
aaron,1.1134493547560989e-05,0.0,4.056628505624262e-06,1.1134493547560989e-05
ab,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abacela,0.0,0.0,5.57786419523336e-06,0.0
abacelawas,0.0,2.500844034861766e-06,0.0,-2.500844034861766e-06
abadal,1.5906419353658556e-06,0.0,5.070785632030328e-07,1.5906419353658556e-06
abadia,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abandon,7.953209676829278e-06,0.0,1.0141571264060656e-06,7.953209676829278e-06
abandoned,0.0,0.0,5.070785632030328e-07,0.0
abate,0.0,0.0,3.0424713792181962e-06,0.0
abbazia,0.0,0.0,1.0141571264060656e-06,0.0
abbess,0.0,0.0,5.070785632030328e-07,0.0
abbey,1.4315777418292701e-05,0.0,2.5353928160151637e-06,1.4315777418292701e-05
abboccato,0.0,2.500844034861766e-06,0.0,-2.500844034861766e-06
abbot,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abbott,7.953209676829278e-06,0.0,1.0141571264060656e-06,7.953209676829278e-06
abbreviated,0.0,3.251097245320296e-05,8.620335574451557e-06,-3.251097245320296e-05
abc,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abeille,0.0,0.0,1.0141571264060656e-06,0.0
abeilles,0.0,0.0,5.070785632030328e-07,0.0
abeja,9.543851612195134e-06,0.0,5.070785632030328e-07,9.543851612195134e-06
abel,1.5906419353658556e-06,0.0,2.028314252812131e-06,1.5906419353658556e-06
abele,0.0,0.0,5.070785632030328e-07,0.0
abelis,0.0,0.0,1.0141571264060656e-06,0.0
abernathy,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
aberrant,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abetina,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abeyance,0.0,0.0,5.070785632030328e-07,0.0
abide,0.0,0.0,5.070785632030328e-07,0.0
abiding,0.0,0.0,5.070785632030328e-07,0.0
abilio,0.0,0.0,5.070785632030328e-07,0.0
abilities,1.5906419353658556e-06,0.0,1.0141571264060656e-06,1.5906419353658556e-06
ability,8.907594838048791e-05,5.001688069723532e-06,3.194594948179106e-05,8.407426031076438e-05
abiouness,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
able,4.4537974190243954e-05,2.500844034861766e-05,2.028314252812131e-05,1.9529533841626296e-05
ably,3.181283870731711e-06,0.0,7.0990998848424585e-06,3.181283870731711e-06
abnormal,0.0,7.502532104585297e-06,0.0,-7.502532104585297e-06
abnormally,0.0,2.500844034861766e-06,0.0,-2.500844034861766e-06
aboard,0.0,0.0,5.070785632030328e-07,0.0
abondante,0.0,0.0,5.070785632030328e-07,0.0
aboriginal,0.0,0.0,5.070785632030328e-07,0.0
abound,7.316952902682936e-05,6.502194490640591e-05,0.0001191634623527127,8.147584120423446e-06
aboundboysenberry,0.0,0.0,5.070785632030328e-07,0.0
aboundcassis,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abounds,2.8631554836585402e-05,5.001688069723532e-06,1.673359258570008e-05,2.362986676686187e-05
abouriou,0.0,5.001688069723532e-06,4.563707068827294e-06,-5.001688069723532e-06
abovde,0.0,0.0,5.070785632030328e-07,0.0
aboveaverage,1.5906419353658556e-06,2.500844034861766e-06,2.5353928160151637e-06,-9.102020994959103e-07
abovethefog,0.0,0.0,5.070785632030328e-07,0.0
abraham,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abrasive,9.543851612195134e-06,0.00014754979805684418,5.375032769952147e-05,-0.00013800594644464904
abrasiveness,0.0,0.0,1.5212356896090981e-06,0.0
abraxas,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abrazo,0.0,2.500844034861766e-06,0.0,-2.500844034861766e-06
abreu,0.0,0.0,1.0141571264060656e-06,0.0
abrie,6.362567741463422e-06,0.0,0.0,6.362567741463422e-06
abrigo,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abroad,0.0,0.0,1.5212356896090981e-06,0.0
abrupt,3.181283870731711e-06,8.252785315043827e-05,3.9552127929836555e-05,-7.934656927970655e-05
abruptly,1.5906419353658556e-06,5.501856876695885e-05,1.1662806953669753e-05,-5.3427926831592995e-05
abruptness,0.0,0.0,5.070785632030328e-07,0.0
abruzzo,6.362567741463422e-06,2.500844034861766e-06,4.563707068827294e-06,3.861723706601656e-06
absberg,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
absence,6.362567741463422e-06,2.0006752278894127e-05,7.0990998848424585e-06,-1.3644184537430706e-05
absense,0.0,2.500844034861766e-06,0.0,-2.500844034861766e-06
absent,3.181283870731711e-06,2.500844034861766e-06,1.5212356896090981e-06,6.804398358699452e-07
absinthelike,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
absolute,5.7263109673170804e-05,0.0,5.57786419523336e-06,5.7263109673170804e-05
absolutely,0.00022428051288658565,2.0006752278894127e-05,4.056628505624262e-05,0.0002042737606076915
absorb,4.771925806097567e-06,7.502532104585297e-06,6.5920213216394255e-06,-2.7306062984877304e-06
absorbed,7.953209676829278e-06,0.0,4.056628505624262e-06,7.953209676829278e-06
absorbingly,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
absorbs,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
absurd,0.0,0.0,5.070785632030328e-07,0.0
absurdly,1.5906419353658556e-06,0.0,5.070785632030328e-07,1.5906419353658556e-06
abtsberg,3.181283870731711e-06,0.0,5.070785632030328e-07,3.181283870731711e-06
abundance,5.7263109673170804e-05,7.752616508071474e-05,5.020077775710024e-05,-2.0263055407543935e-05
abundancecitrus,0.0,0.0,5.070785632030328e-07,0.0
abundant,8.112273870365864e-05,7.502532104585297e-05,0.0001318404264327885,6.097417657805672e-06
abundantly,9.543851612195134e-06,1.0003376139447064e-05,7.606178448045491e-06,-4.5952452725192977e-07
abupt,0.0,0.0,5.070785632030328e-07,0.0
abused,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abuts,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abuzz,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
abv,2.2268987095121977e-05,4.751603666237355e-05,3.194594948179106e-05,-2.5247049567251576e-05
ac,0.0,0.0,5.070785632030328e-07,0.0
acacia,7.15788870914635e-05,9.50320733247471e-05,0.00016023682597215833,-2.3453186233283603e-05
academic,0.0,5.001688069723532e-06,5.070785632030328e-07,-5.001688069723532e-06
acadia,0.0,0.0,5.070785632030328e-07,0.0
acai,1.5906419353658556e-06,2.500844034861766e-06,3.0424713792181962e-06,-9.102020994959103e-07
acccessible,0.0,0.0,5.070785632030328e-07,0.0
accelerate,0.0,0.0,5.070785632030328e-07,0.0
accelerates,0.0,0.0,1.0141571264060656e-06,0.0
accent,0.00024177757417561004,0.00026508946769534717,0.00038791510085032,-2.331189351973713e-05
accented,0.0004374265322256103,0.00034011478874120015,0.0006115367472228575,9.731174348441015e-05
accentfill,0.0,0.0,5.070785632030328e-07,0.0
accenting,2.7040912901219546e-05,3.251097245320296e-05,5.679279907873967e-05,-5.470059551983411e-06
accents,0.0004819645064158542,0.00042014179785677665,0.0006490605608998819,6.182270855907757e-05
accentslike,0.0,0.0,5.070785632030328e-07,0.0
accentsstill,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
accentssubtle,0.0,0.0,5.070785632030328e-07,0.0
accentthe,0.0,0.0,5.070785632030328e-07,0.0
accentuate,1.1134493547560989e-05,1.0003376139447064e-05,2.231145678093344e-05,1.1311174081139248e-06
